unix_ts,V,I,f,DPF,APF,P,Pt,Q,Qt,S,St
1393263000,118.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187872
1393263060,118.9,0.0,59.93,0.71,0.05,0,20016,0,2078,9,187873
1393263120,119.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187873
1393263180,119.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187873
1393263240,119.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187873
1393263300,118.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187873
1393263360,118.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187873
1393263420,118.6,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187873
1393263480,118.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187874
1393263540,117.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187874
1393263600,117.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187874
1393263660,118.2,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187874
1393263720,118.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187874
1393263780,118.4,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187874
1393263840,118.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187874
1393263900,118.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187875
1393263960,118.7,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187875
1393264020,118.8,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187875
1393264080,119.0,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187875
1393264140,119.0,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187875
1393264200,119.0,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187875
1393264260,118.9,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187875
1393264320,119.1,0.0,60.0,1.0,0.0,0,20016,0,2078,9,187876
1393264380,119.1,0.0,60.0,1.0,0.05,0,20016,0,2078,9,187876
