@relation 'CTU-Honeypot-Capture-4-1-labeled-weka.filters.unsupervised.attribute.Remove-R1-6,8,13-14,21,23'

@attribute proto {udp,tcp}
@attribute duration numeric
@attribute orig_bytes numeric
@attribute resp_bytes numeric
@attribute conn_state {SF,S0,RSTR,OTH}
@attribute missed_bytes numeric
@attribute history {Dd,D,ShAFf,ShADadtfF,ShADadfF,ShAFaf,ShADadFf,ShADafdtF,ShADacfgF,ShADacgdFf,ShADCaGdfF,ShADCaGdFf,ShADadfr,AaDd}
@attribute orig_pkts numeric
@attribute orig_ip_bytes numeric
@attribute resp_pkts numeric
@attribute resp_ip_bytes numeric
@attribute label {benign}

@data
udp,0.114184,48,48,SF,0,Dd,1,76,1,76,benign
udp,160.367579,7536,0,S0,0,D,24,8208,0,0,benign
udp,0.016986,48,48,SF,0,Dd,1,76,1,76,benign
tcp,0.003497,0,0,SF,0,ShAFf,5,212,3,144,benign
udp,0.036724,34,311,SF,0,Dd,1,62,1,339,benign
udp,384.518261,15072,0,S0,0,D,48,16416,0,0,benign
udp,0.270332,48,48,SF,0,Dd,1,76,1,76,benign
udp,0.111429,48,48,SF,0,Dd,1,76,1,76,benign
udp,0.114433,48,48,SF,0,Dd,1,76,1,76,benign
udp,0.016984,48,48,SF,0,Dd,1,76,1,76,benign
tcp,0.003497,0,0,SF,0,ShAFf,4,172,2,92,benign
udp,0.040227,34,311,SF,0,Dd,1,62,1,339,benign
udp,0.270346,48,48,SF,0,Dd,1,76,1,76,benign
udp,0.109684,48,48,SF,0,Dd,1,76,1,76,benign
udp,0.114426,48,48,SF,0,Dd,1,76,1,76,benign
udp,0.01698,48,48,SF,0,Dd,1,76,1,76,benign
udp,1633.04433,60288,0,S0,0,D,192,65664,0,0,benign
tcp,0.003498,0,0,SF,0,ShAFf,4,172,2,92,benign
udp,0.183145,34,311,SF,0,Dd,1,62,1,339,benign
udp,0.272344,48,48,SF,0,Dd,1,76,1,76,benign
udp,0.109436,48,48,SF,0,Dd,1,76,1,76,benign
udp,766.04856,28260,0,S0,0,D,90,30780,0,0,benign
udp,50.851218,3768,0,S0,0,D,12,4104,0,0,benign
tcp,0.088446,1847,1539,SF,0,ShADadtfF,7,2139,7,1823,benign
tcp,0.109187,1847,791,SF,0,ShADadfF,6,2099,6,1035,benign
udp,0.050455,37,179,SF,0,Dd,1,65,1,207,benign
udp,0.003998,37,442,SF,0,Dd,1,65,1,470,benign
udp,0.000499,37,100,SF,0,Dd,1,65,1,128,benign
udp,0.0005,37,132,SF,0,Dd,1,65,1,160,benign
tcp,0.003499,0,0,SF,0,ShAFaf,4,172,3,132,benign
udp,0.04621,34,297,SF,0,Dd,1,62,1,325,benign
udp,0.114417,48,48,SF,0,Dd,1,76,1,76,benign
udp,0.017238,48,48,SF,0,Dd,1,76,1,76,benign
udp,50.868027,3768,0,S0,0,D,12,4104,0,0,benign
udp,0.269349,48,48,SF,0,Dd,1,76,1,76,benign
tcp,0.003495,0,0,SF,0,ShAFf,5,212,3,144,benign
udp,0.036214,34,311,SF,0,Dd,1,62,1,339,benign
udp,1480.810378,52752,0,S0,0,D,168,57456,0,0,benign
tcp,0.003496,0,0,SF,0,ShAFf,4,172,2,92,benign
udp,0.200137,34,297,SF,0,Dd,1,62,1,325,benign
udp,0.109694,48,48,SF,0,Dd,1,76,1,76,benign
udp,0.116179,48,48,SF,0,Dd,1,76,1,76,benign
udp,0.016732,48,48,SF,0,Dd,1,76,1,76,benign
tcp,3.000292,0,0,SF,0,ShAFf,6,276,2,92,benign
udp,0.119679,34,297,SF,0,Dd,1,62,1,325,benign
udp,1032.879228,37680,0,S0,0,D,120,41040,0,0,benign
udp,50.83058,3768,0,S0,0,D,12,4104,0,0,benign
udp,0.270102,48,48,SF,0,Dd,1,76,1,76,benign
udp,322.370929,13188,0,S0,0,D,42,14364,0,0,benign
tcp,0.089448,1847,1539,SF,0,ShADadtfF,7,2151,7,1831,benign
tcp,0.114934,1847,791,SF,0,ShADadfF,6,2099,6,1035,benign
udp,0.180398,37,179,SF,0,Dd,1,65,1,207,benign
udp,0.003752,37,442,SF,0,Dd,1,65,1,470,benign
udp,0.000499,37,100,SF,0,Dd,1,65,1,128,benign
udp,0.00075,37,132,SF,0,Dd,1,65,1,160,benign
tcp,0.003496,0,0,SF,0,ShAFf,4,172,2,92,benign
udp,0.061961,34,311,SF,0,Dd,1,62,1,339,benign
udp,0.109678,48,48,SF,0,Dd,1,76,1,76,benign
udp,0.114433,48,48,SF,0,Dd,1,76,1,76,benign
udp,0.016723,48,48,SF,0,Dd,1,76,1,76,benign
tcp,0.003248,0,0,SF,0,ShAFf,4,172,2,92,benign
udp,0.042224,34,297,SF,0,Dd,1,62,1,325,benign
udp,1643.646987,58404,0,S0,0,D,186,63612,0,0,benign
udp,0.269861,48,48,SF,0,Dd,1,76,1,76,benign
