@relation 'CTU-Honeypot-Capture-5-1-labeled-weka.filters.unsupervised.attribute.Remove-R1-6,8-weka.filters.unsupervised.attribute.Remove-R6-7,14,16'

@attribute proto {udp,tcp,icmp}
@attribute duration numeric
@attribute orig_bytes numeric
@attribute resp_bytes numeric
@attribute conn_state {S0,SF,RSTO,OTH,SHR,RSTR,S3,SH,S1,RSTRH}
@attribute missed_bytes numeric
@attribute history {D,ShADafF,ShAFf,Dd,ShADadRRR,ShADadFf,ShADadfF,ShADadftF,^d,ShADadr,ShADadfr,ShADadf,F,DRr,ShADad,ShADadttWWtf,ShAFaf,ShADadfFr,ShADadtf,DadA,DdA,ShADadfRr,ShADadRf,ShADadtfRr,ShAFfa,ShADadtftr,^r,ShAaDdFf,ShADadFfRR,DdAtfFa,ShADadtFRfR,ShADadft,D^}
@attribute orig_pkts numeric
@attribute orig_ip_bytes numeric
@attribute resp_pkts numeric
@attribute resp_ip_bytes numeric
@attribute label {benign}

@data
udp,8.322388,600,0,S0,0,D,2,656,0,0,benign
udp,?,?,?,S0,0,D,1,391,0,0,benign
udp,?,?,?,S0,0,D,1,411,0,0,benign
udp,?,?,?,S0,0,D,1,391,0,0,benign
udp,60.555587,3000,0,S0,0,D,10,3280,0,0,benign
udp,58.101145,3000,0,S0,0,D,10,3280,0,0,benign
udp,7.005272,804,0,S0,0,D,4,916,0,0,benign
udp,7.005263,804,0,S0,0,D,4,916,0,0,benign
udp,7.005255,804,0,S0,0,D,4,996,0,0,benign
udp,59.007533,3000,0,S0,0,D,10,3280,0,0,benign
udp,60.591687,3000,0,S0,0,D,10,3280,0,0,benign
udp,61.018114,3000,0,S0,0,D,10,3280,0,0,benign
tcp,0.356214,135,238,SF,0,ShADafF,4,315,4,406,benign
tcp,0.33274,0,0,SF,0,ShAFf,4,216,2,112,benign
tcp,0.300101,0,0,SF,0,ShAFf,4,216,2,112,benign
tcp,0.310657,0,0,SF,0,ShAFf,4,216,2,112,benign
udp,0.011518,43,111,SF,0,Dd,1,71,1,139,benign
udp,0.015621,40,56,SF,0,Dd,1,68,1,84,benign
udp,0.015581,40,104,SF,0,Dd,1,68,1,132,benign
tcp,0.273075,684,72877,RSTO,0,ShADadRRR,54,3068,56,75797,benign
tcp,2.843592,2651,3769,SF,0,ShADadFf,14,3231,10,4177,benign
udp,0.012246,33,49,SF,0,Dd,1,61,1,77,benign
udp,0.189103,37,53,SF,0,Dd,1,65,1,81,benign
udp,0.013419,36,68,SF,0,Dd,1,64,1,96,benign
udp,0.016521,41,57,SF,0,Dd,1,69,1,85,benign
udp,0.011252,33,49,SF,0,Dd,1,61,1,77,benign
udp,0.013156,33,49,SF,0,Dd,1,61,1,77,benign
udp,0.01329,40,56,SF,0,Dd,1,68,1,84,benign
udp,0.118298,37,53,SF,0,Dd,1,65,1,81,benign
udp,0.049276,40,56,SF,0,Dd,1,68,1,84,benign
udp,0.010914,48,64,SF,0,Dd,1,76,1,92,benign
udp,0.012875,44,82,SF,0,Dd,1,72,1,110,benign
udp,0.010121,40,56,SF,0,Dd,1,68,1,84,benign
