"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.202.138","192.168.27.1","TCP","66","3993  >  56706 [SYN] Seq=0 Win=4096 Len=0 MSS=1460 SACK_PERM=1"
"2","0.000000","192.168.202.138","192.168.27.1","TCP","66","51936  >  56759 [SYN] Seq=0 Win=4096 Len=0 MSS=1460 SACK_PERM=1"
"3","0.000000","192.168.202.138","192.168.27.1","TCP","66","50479  >  56812 [SYN] Seq=0 Win=4096 Len=0 MSS=1460 SACK_PERM=1"
"4","0.000000","192.168.202.138","192.168.27.1","TCP","66","10111  >  56865 [SYN] Seq=0 Win=4096 Len=0 MSS=1460 SACK_PERM=1"
"5","0.000000","192.168.202.138","192.168.27.1","TCP","66","30736  >  56918 [SYN] Seq=0 Win=4096 Len=0 MSS=1460 SACK_PERM=1"
"6","0.000000","192.168.202.138","192.168.27.1","TCP","66","44871  >  56971 [SYN] Seq=0 Win=4096 Len=0 MSS=1460 SACK_PERM=1"
"7","0.000000","192.168.202.138","192.168.27.1","TCP","66","5325  >  57024 [SYN] Seq=0 Win=4096 Len=0 MSS=1460 SACK_PERM=1"
"8","0.000000","192.168.202.138","192.168.27.1","TCP","66","7374  >  57077 [SYN] Seq=0 Win=4096 Len=0 MSS=1460 SACK_PERM=1"
"9","0.000000","192.168.202.138","192.168.27.1","TCP","66","31853  >  57130 [SYN] Seq=0 Win=4096 Len=0 MSS=1460 SACK_PERM=1"
"10","0.000000","192.168.202.138","192.168.27.1","TCP","66","34710  >  57183 [SYN] Seq=0 Win=4096 Len=0 MSS=1460 SACK_PERM=1"
"11","0.000000","192.168.202.138","192.168.27.1","TCP","66","13110  >  57236 [SYN] Seq=0 Win=4096 Len=0 MSS=1460 SACK_PERM=1"
"12","0.000000","192.168.202.138","192.168.27.1","TCP","66","1139  >  57289 [SYN] Seq=0 Win=4096 Len=0 MSS=1460 SACK_PERM=1"
"13","0.000000","192.168.202.138","192.168.27.1","TCP","66","55531  >  57342 [SYN] Seq=0 Win=4096 Len=0 MSS=1460 SACK_PERM=1"
"14","0.000000","192.168.202.138","192.168.27.1","TCP","66","58021  >  57395 [SYN] Seq=0 Win=4096 Len=0 MSS=1460 SACK_PERM=1"
