proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,'ct_src_ ltm',ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,Label
tcp,FIN,0.098989,4550,70026,31,29,7,33,-,363030.2188,5590358.5,78,82,255,255,452200460,452483498,58,854,0,0,78.741151,78.257939,1421951772,1421951772,1.281117,1.207827,0.00132,0.001147,0.000173,0,0,0,0,0,14,4,5,5,1,1,2,0
udp,CON,0.001012,146,178,31,29,0,0,dns,577075.0625,703557.3125,2,2,0,0,0,0,73,89,0,0,0,0,1421931942,1421931942,0.011,0.005,0,0,0,0,0,0,0,0,3,1,1,3,2,1,1,0
tcp,FIN,0.01231,2542,23122,31,29,7,14,-,1611047.875,14669049,40,42,255,255,2060493296,2065965778,64,551,0,0,17.976652,17.148856,1421948116,1421948116,0.306846,0.288098,0.000636,0.000496,0.00014,0,0,0,0,0,5,9,2,3,1,1,1,0
tcp,FIN,0.014016,2230,15228,31,29,7,11,-,1235730.625,8450343,34,36,255,255,3207023802,1057750679,66,423,0,0,26.482559,24.278634,1421936504,1421936504,0.410758,0.382486,0.00075,0.000618,0.000132,0,0,0,0,0,10,3,1,3,1,1,1,0
tcp,FIN,0.091463,3926,56022,31,29,7,27,-,338235.125,4828094.5,66,68,255,255,4179234883,4206040424,59,824,0,0,94.23653,92.431657,1421945020,1421945020,1.402154,1.355627,0.000808,0.000632,0.000176,0,0,0,0,0,26,12,13,26,4,4,4,0
tcp,FIN,0.559754,424,8824,31,29,1,4,ftp-data,5302.329102,115607.9219,8,12,255,255,2303123996,2853321451,53,735,0,0,4891.397161,3848.819469,1421934925,1421934925,79.916,50.84118,0.001417,0.000496,0.000921,0,0,0,0,0,2,4,4,2,1,1,1,0
udp,CON,0.004743,568,320,31,29,0,0,-,718532.5625,404807.0938,4,4,0,0,0,0,142,80,0,0,1.718505,1.566479,1421929262,1421929262,1.218667,1.112667,0,0,0,0,0,0,0,0,8,9,4,3,1,1,3,0
udp,CON,0.001086,130,162,31,29,0,0,dns,478821.375,596685.0625,2,2,0,0,0,0,65,81,0,0,0,0,1421943040,1421943040,0.007,0.001,0,0,0,0,0,0,0,0,2,4,2,4,1,1,1,0
tcp,FIN,0.332909,4400,3080,31,29,7,7,-,101961.8047,71563.10156,28,30,255,255,3650406961,1508337519,157,103,0,0,700.143819,17.891574,1421933784,1421933785,12.318111,11.462173,0.00064,0.000502,0.000138,0,0,0,0,0,17,9,3,5,1,1,2,0
tcp,FIN,0.024955,3806,51314,31,29,7,26,-,1201202.125,16201001,64,66,255,255,1575877875,1576185615,59,777,0,0,21.243116,20.77227,1421927954,1421927954,0.391079,0.374015,0.000795,0.000634,0.000161,0,0,0,0,0,18,4,3,1,1,1,1,0
tcp,FIN,0.223488,424,8824,31,29,1,4,-,13280.35449,289554.6875,8,12,255,255,2219498372,2297477119,53,735,0,0,2169.509454,1725.861794,1421945074,1421945075,31.881429,20.273273,0.00064,0.000476,0.000164,0,0,0,0,0,10,8,11,14,3,3,11,0
udp,CON,0.00104,146,178,31,29,0,0,dns,561538.4375,684615.375,2,2,0,0,0,0,73,89,0,0,0,0,1421934954,1421934954,0.007,0.009,0,0,0,0,0,0,0,0,6,2,1,3,2,1,1,0
tcp,FIN,0.664779,534,268,254,252,2,1,-,5788.389648,2695.632568,10,6,255,255,1107877411,3524417424,53,45,0,0,3501.390292,155.935344,1421931660,1421931660,66.573889,109.337398,0.187686,0.118088,0.069598,0,1,0,0,0,6,3,1,2,1,1,1,0
